Timestamp,Station,Passengers,Dwell_Time
2025-05-28 05:00:00,KAPURBAWDI,16,60.2
2025-05-28 05:05:00,GOWNIWADA,19,36.8
2025-05-28 05:10:00,MANDAPA,16,39.2
2025-05-28 05:15:00,CADBUARY,17,43.4
2025-05-28 05:20:00,CADBUARY,21,41.2
2025-05-28 05:25:00,MANDAPA,17,42.4
2025-05-28 05:30:00,MAJIWADA,24,70.8
2025-05-28 05:35:00,MANDAPA,22,38.4
2025-05-28 05:40:00,GOWNIWADA,23,40.599999999999994
2025-05-28 05:45:00,MAJIWADA,21,46.2
2025-05-28 05:50:00,MAJIWADA,14,36.8
2025-05-28 05:55:00,DONGARI PADA,18,35.599999999999994
2025-05-28 06:00:00,CADBUARY,21,41.2
2025-05-28 06:05:00,DONGARI PADA,11,29.2
2025-05-28 06:10:00,GAIMUKH,21,40.2
2025-05-28 06:15:00,KAPURBAWDI,13,32.6
2025-05-28 06:20:00,KASARVADAVALI,16,32.2
2025-05-28 06:25:00,MAJIWADA,21,46.2
2025-05-28 06:30:00,VIJAYGARDEN ,30,51.0
2025-05-28 06:35:00,MAJIWADA,18,38.599999999999994
2025-05-28 06:40:00,KASARVADAVALI,19,39.8
2025-05-28 06:45:00,KASARVADAVALI,18,32.599999999999994
2025-05-28 06:50:00,CADBUARY,17,33.4
2025-05-28 06:55:00,KAPURBAWDI,29,55.8
2025-05-28 07:00:00,KASARVADAVALI,48,70.6
2025-05-28 07:05:00,KAPURBAWDI,47,70.4
2025-05-28 07:10:00,CADBUARY,45,76.0
2025-05-28 07:15:00,MAJIWADA,58,81.6
2025-05-28 07:20:00,TIKU JI NA WADI ,43,68.6
2025-05-28 07:25:00,DONGARI PADA,57,78.39999999999999
2025-05-28 07:30:00,MAJIWADA,51,73.19999999999999
2025-05-28 07:35:00,MAJIWADA,42,79.4
2025-05-28 07:40:00,DONGARI PADA,52,82.4
2025-05-28 07:45:00,MANDAPA,58,102.6
2025-05-28 07:50:00,GAIMUKH,52,73.4
2025-05-28 07:55:00,CADBUARY,52,79.4
2025-05-28 08:00:00,VIJAYGARDEN ,47,71.4
2025-05-28 08:05:00,KASARVADAVALI,49,70.8
2025-05-28 08:10:00,MANDAPA,51,72.19999999999999
2025-05-28 08:15:00,VIJAYGARDEN ,45,77.0
2025-05-28 08:20:00,VIJAYGARDEN ,52,85.4
2025-05-28 08:25:00,GOWNIWADA,60,82.0
2025-05-28 08:30:00,KASARVADAVALI,64,86.8
2025-05-28 08:35:00,GOWNIWADA,54,81.8
2025-05-28 08:40:00,CADBUARY,60,83.0
2025-05-28 08:45:00,KAPURBAWDI,51,80.19999999999999
2025-05-28 08:50:00,GOWNIWADA,52,73.4
2025-05-28 08:55:00,MANDAPA,57,79.39999999999999
2025-05-28 09:00:00,GOWNIWADA,10,56.0
2025-05-28 09:05:00,GAIMUKH,15,52.0
2025-05-28 09:10:00,DONGARI PADA,18,39.599999999999994
2025-05-28 09:15:00,GAIMUKH,24,47.8
2025-05-28 09:20:00,DONGARI PADA,23,46.599999999999994
2025-05-28 09:25:00,KAPURBAWDI,26,85.2
2025-05-28 09:30:00,MAJIWADA,29,54.8
2025-05-28 09:35:00,TIKU JI NA WADI ,19,44.8
2025-05-28 09:40:00,KAPURBAWDI,17,38.4
2025-05-28 09:45:00,TIKU JI NA WADI ,24,49.8
2025-05-28 09:50:00,MAJIWADA,25,40.0
2025-05-28 09:55:00,TIKU JI NA WADI ,27,47.4
2025-05-28 10:00:00,VIJAYGARDEN ,14,30.8
2025-05-28 10:05:00,MAJIWADA,23,43.599999999999994
2025-05-28 10:10:00,MAJIWADA,23,46.599999999999994
2025-05-28 10:15:00,DONGARI PADA,25,44.0
2025-05-28 10:20:00,GOWNIWADA,12,29.4
2025-05-28 10:25:00,KASARVADAVALI,11,31.2
2025-05-28 10:30:00,MAJIWADA,18,41.599999999999994
2025-05-28 10:35:00,CADBUARY,24,43.8
2025-05-28 10:40:00,DONGARI PADA,21,48.2
2025-05-28 10:45:00,MANDAPA,27,45.4
2025-05-28 10:50:00,GOWNIWADA,14,35.8
2025-05-28 10:55:00,GOWNIWADA,21,42.2
